Generation,Fitness,Mutation Rate
0,230,0.1
1,230,0.1
2,230,0.2
3,250,0.4
4,250,0.1
5,250,0.2
6,250,0.4
7,415,0.8
8,415,0.1
9,505,0.2
10,505,0.1
11,505,0.2
12,505,0.4
13,505,0.8
14,505,1.6
15,505,3.2
16,505,6.4
17,505,12.8
18,505,25.6
19,515,51.2
20,505,0.1
21,515,0.2
22,515,0.4
23,515,0.8
24,515,1.6
25,515,3.2
26,515,6.4
27,515,12.8
28,515,25.6
29,505,51.2
30,335,102.4
31,275,204.8
32,30,409.6
33,325,819.2
34,230,1638.4
35,85,3276.8
36,65,6553.6
37,70,13107.2
38,85,26214.4
39,80,52428.8
40,240,104857.6
41,100,209715.2
42,40,419430.4
43,165,838860.8
44,465,1677722
45,105,3355443
46,150,6710887
47,190,1.342177E+07
48,240,2.684355E+07
49,60,5.368709E+07
50,85,1.073742E+08
51,55,2.147484E+08
52,30,4.294967E+08
53,40,8.589935E+08
54,60,1.717987E+09
55,140,3.435974E+09
56,65,6.871948E+09
57,130,1.37439E+10
58,80,2.748779E+10
59,60,5.497558E+10
60,145,1.099512E+11
61,75,2.199023E+11
62,250,4.398047E+11
63,220,8.796093E+11
64,355,1.759219E+12
65,145,3.518437E+12
66,25,7.036875E+12
67,120,1.407375E+13
68,65,2.81475E+13
69,390,5.6295E+13
70,80,1.1259E+14
71,220,2.2518E+14
72,20,4.5036E+14
73,345,9.007199E+14
74,80,1.80144E+15
75,370,3.60288E+15
76,20,7.20576E+15
77,75,1.441152E+16
78,205,2.882304E+16
79,75,5.764608E+16
80,370,1.152922E+17
81,335,2.305843E+17
82,15,4.611686E+17
83,110,9.223372E+17
84,65,1.844674E+18
85,245,3.689349E+18
86,80,7.378698E+18
87,20,1.47574E+19
88,25,2.951479E+19
89,55,5.902958E+19
90,35,1.180592E+20
91,20,2.361183E+20
92,25,4.722367E+20
93,90,9.444733E+20
94,165,1.888947E+21
95,130,3.777893E+21
96,220,7.555786E+21
97,25,1.511157E+22
98,20,3.022315E+22
99,50,6.044629E+22
100,100,1.208926E+23
