Generation,Mean Fitness
0,44.5
1,44.5
2,96
3,164
4,203.5
5,177
6,204
7,172.5
8,161
9,146.5
10,159.5
11,178.5
12,188.5
13,133.5
14,114.5
15,140
16,188.5
17,166.5
18,186
19,161.5
20,227
21,225.5
22,156
23,157
24,335.5
25,373.5
26,394.5
27,385.5
28,409.5
29,376.5
30,423
31,420
32,465.5
33,450
34,423.5
35,406.5
36,379
37,406.5
38,413.5
39,460.5
40,428
41,441
42,397.5
43,386.5
44,293.5
45,398.5
46,395
47,407.5
48,442
49,408
50,271.5
51,229.5
52,289.5
53,262
54,140
55,118
56,109
57,152
58,104
59,118.5
60,100.5
61,48
62,42
63,76
64,83
65,39
66,108
67,109
68,61.5
69,73.5
70,117.5
71,114.5
72,126.5
73,48
74,70.5
75,63.5
76,60
77,53.5
78,30.5
79,94.5
80,81.5
81,32
82,63
83,44
84,79.5
85,108
86,46
87,94.5
88,42
89,60.5
90,48.5
91,66
92,61
93,81.5
94,72
95,64.5
96,58
97,89
98,58
99,64.5
100,30
101,24.5
102,54.5
103,63.5
104,65
105,51.5
106,69.5
107,32.5
108,42.5
109,28
110,29
111,60
112,35
113,74.5
114,86
115,52.5
116,15.5
117,76
118,58.5
119,37
120,75.5
121,89.5
122,28.5
123,21.5
124,62
125,70.5
126,45
127,41
128,38.5
129,73.5
130,59
131,56
132,39
133,43
134,57.5
135,44
136,43.5
137,60.5
138,20.5
139,28.5
140,63.5
141,52
142,50.5
143,33.5
144,26.5
145,34.5
146,31.5
147,29
148,54.5
149,28
150,22
151,25.5
152,45
153,40
154,29
155,30.5
156,45
157,28.5
158,21.5
159,23
160,17.5
161,47.5
162,19.5
163,43
164,21.5
165,31
166,16.5
167,40
168,34
169,55
170,43
171,18
172,45
173,39.5
174,22
175,24
176,61.5
177,34
178,31.5
179,25
180,22.5
181,39
182,21
183,26.5
184,28.5
185,35
186,25
187,58.5
188,60
189,28.5
190,47
191,16.5
192,23
193,83.5
194,62.5
195,29.5
196,22.5
197,17.5
198,55.5
199,25
200,42.5
201,28
202,91
203,34
204,15
205,18
206,16
207,15.5
208,26
209,32.5
210,75.5
211,32.5
212,34
213,63.5
214,16
215,32.5
216,24.5
217,15
218,47
219,28
220,22.5
221,82.5
222,29
223,42
224,21
225,45.5
226,23.5
227,45
228,21.5
229,21
230,50.5
231,28
232,31
233,28.5
234,17.5
235,21
236,76
237,16.5
238,34.5
239,16
240,19.5
241,55
242,37
243,18.5
244,32.5
245,58
246,23
247,19
248,36.5
249,16
250,44.5
251,21.5
252,19.5
253,26
254,16.5
255,18
256,51
257,16.5
258,18.5
259,16.5
260,21
261,23
262,23
263,18
264,28
265,19.5
266,25
267,22.5
268,15
269,22.5
270,27.5
271,27
272,24.5
273,50
274,51
275,33.5
276,44.5
277,25
278,52.5
279,21.5
280,24
281,31.5
282,96
283,44
284,43
285,18
286,151.5
287,38
288,25
289,36
290,72
291,16.5
292,17
293,30
294,53
295,30
296,19.5
297,35.5
298,42
299,17.5
300,19.5
301,34
302,21.5
